id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,contact,เบอร์โทรภาควิชา CSIT,"055-963262, 055-963263",เบอร์โทรศัพท์ของภาควิชา CSIT คือ 055-963262 และ 055-963263 ค่ะ 😊,,"055-963262, 055-963263",,1.0,0.3,1.0,✅ Correctly answered,13.745,True,False,
2,contact,โทรภาควิชาเบอร์อะไร,"055-963262, 055-963263","สวัสดีค่ะ ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ (CSIT) มีเบอร์โทรศัพท์ของเจ้าหน้าที่ภาควิชาดังนี้ค่ะ

*   **พี่แมว (ปทุมา แก้วแดง):** 055-963263
*   **พี่เฟิร์น (ณัฐปกรณ์ ทูลแก้วธัญธร):** 055-963262
*   **พี่โอ๊ต (ธราศักดิ์ ชุนกองฮอ):** 055-963230
*   **พี่ยุทธ (ยุทธพงษ์ คงถาวร):** 055-963230

หากต้องการติดต่อเรื่องทะเบียนนิสิต คณะวิทยาศาสตร์ (รวม CSIT) สามารถติดต่อ **คุณพชรพรรณ ปลื้มวงศ์** ได้ที่เบอร์ 055-968315 ค่ะ 👩‍💻",,"055-963262, 055-963263",,1.0,0.057,1.0,✅ Correctly answered,5.281,True,False,
3,contact,เบอร์งานทะเบียน,0-5596-8300,สวัสดีค่ะ หากนิสิตสังกัดคณะวิทยาศาสตร์ (รวม CSIT) สามารถติดต่อคุณพชรพรรณ ปลื้มวงศ์ ได้ที่เบอร์ 055-968315 ค่ะ 😊,,"055-968300, 0-5596-8300",,1.0,0.0,1.0,✅ Correctly answered,1.76,True,False,
4,contact,เบอร์พี่เฟิร์น,055-963262,สวัสดีค่ะ น้องซีทีขอแจ้งเบอร์โทรศัพท์ของพี่เฟิร์นนะคะ คือ 055-963262 ค่ะ 😊,055-963262,,,1.0,0.167,1.0,✅ Correctly answered,1.346,True,False,
5,contact,เบอร์พี่แมว,055-963263,เบอร์โทรศัพท์ของพี่แมวคือ 055-963263 ค่ะ 📞,055-963263,,,1.0,0.286,1.0,✅ Correctly answered,1.258,True,False,
6,contact,ที่อยู่ภาควิชา CSIT,99 หมู่ 9 ต.ท่าโพธิ์ อ.เมือง จ.พิษณุโลก,ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ (CSIT) ตั้งอยู่ที่ เลขที่ 99 หมู่ที่ 9 ตำบลท่าโพธิ์ อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000 ค่ะ 🗺️,,"พิษณุโลก, 99, ท่าโพธิ์",,1.0,0.227,1.0,✅ Correctly answered,1.784,True,False,
7,contact,ภาควิชาตั้งอยู่ที่ไหน,ม.นเรศวร พิษณุโลก,ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ ตั้งอยู่ที่ เลขที่ 99 หมู่ที่ 9 ตำบลท่าโพธิ์ อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000 ค่ะ สามารถดูแผนที่ได้ที่นี่เลยค่ะ: https://maps.app.goo.gl/wjmiv9KBu8Q1ScmA9 🗺️,,"พิษณุโลก, นเรศวร",,1.0,0.067,1.0,✅ Correctly answered,3.958,True,False,
8,contact,รหัสไปรษณีย์มหาวิทยาลัยนเรศวร,65000,รหัสไปรษณีย์ของมหาวิทยาลัยนเรศวรคือ 65000 ค่ะ 🏫,65000,,,1.0,0.167,1.0,✅ Correctly answered,1.348,True,False,
9,contact,อาคาร SC2 อยู่ที่ไหน,ภาควิชา CSIT คณะวิทยาศาสตร์,อาคาร SC2 เป็นอาคารที่อาจารย์ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร ปฏิบัติงานอยู่ค่ะ 😊,,"ภาควิชา, CSIT, วิทยาศาสตร์",,1.0,0.15,1.0,✅ Correctly answered,1.441,True,False,
10,contact,เว็บไซต์ระบบทะเบียน,reg.nu.ac.th,"สวัสดีค่ะ น้องซีทีเป็นผู้ช่วย AI ของภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ มหาวิทยาลัยนเรศวรค่ะ 😊

เว็บไซต์ระบบทะเบียนออนไลน์ (e-Registrar) คือ www.reg.nu.ac.th ค่ะ ใช้สำหรับลงทะเบียนเรียน เพิ่ม-ถอนรายวิชา ดูผลการเรียน และขอเอกสารต่างๆ ได้เลยค่ะ",,"reg.nu.ac.th, reg",,1.0,0.103,1.0,✅ Correctly answered,1.658,True,False,
