id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,graduation,เกียรตินิยมอันดับ 1 ต้อง GPA เท่าไร,GPA 3.50 ขึ้นไป,สวัสดีค่ะ เกียรตินิยมอันดับหนึ่งต้องมีค่าระดับขั้นสะสมเฉลี่ยตลอดหลักสูตรตั้งแต่ 3.50 ขึ้นไปค่ะ 😊,3.50,,,1.0,0.05,1.0,✅ Correctly answered,12.159,True,False,
2,graduation,เกียรตินิยมอันดับ 2 ต้อง GPA เท่าไร,GPA 3.25-3.49,สวัสดีค่ะ เกียรตินิยมอันดับสองต้องมีค่าระดับขั้นสะสมเฉลี่ยตลอดหลักสูตรตั้งแต่ 3.25 ถึง 3.49 ค่ะ 😊,3.25,3.49,,1.0,0.111,1.0,✅ Correctly answered,1.947,True,False,
3,graduation,GPA 3.55 ได้เกียรตินิยมอะไร,เกียรตินิยมอันดับหนึ่ง,"จากข้อมูลที่ให้มา GPA 3.55 จะได้รับเกียรตินิยมอันดับหนึ่งค่ะ 😊

ทั้งนี้ ต้องเป็นไปตามเงื่อนไขเพิ่มเติมด้วยนะคะ คือ ไม่เคยได้ F หรือ U และไม่เคยลงทะเบียนเรียนซ้ำค่ะ",เกียรตินิยมอันดับหนึ่ง,,,1.0,0.133,1.0,✅ Correctly answered,1.754,True,False,
4,graduation,GPA 3.30 ได้เกียรตินิยมอะไร,เกียรตินิยมอันดับสอง,"สวัสดีค่ะ จากข้อมูลที่ให้มา GPA 3.30 จะได้ **เกียรตินิยมอันดับสอง** ค่ะ 😊

ทั้งนี้ ต้องเป็นไปตามเงื่อนไขเพิ่มเติมคือ ไม่เคยได้ F หรือ U และไม่เคยลงทะเบียนเรียนซ้ำนะคะ",เกียรตินิยมอันดับสอง,,,1.0,0.172,1.0,✅ Correctly answered,3.907,True,False,
5,graduation,GPA 3.75 ได้เกียรตินิยมไหม,เกียรตินิยมอันดับหนึ่ง,"สวัสดีค่ะ จากข้อมูลที่ให้มา GPA 3.75 ได้เกียรตินิยมอันดับหนึ่งค่ะ 😊

ทั้งนี้ ต้องเป็นไปตามเงื่อนไขเพิ่มเติม คือ ไม่เคยได้ F หรือ U และไม่เคยลงทะเบียนเรียนซ้ำนะคะ",เกียรตินิยมอันดับหนึ่ง,,,1.0,0.172,1.0,✅ Correctly answered,1.547,True,False,
6,graduation,GPA 3.20 ได้เกียรตินิยมไหม,ไม่ได้ ต้อง ≥ 3.25,สวัสดีค่ะ จากข้อมูลที่ให้มา GPA 3.20 ของคุณไม่ถึงเกณฑ์เกียรตินิยมอันดับสองค่ะ (ต้องมี GPA ตั้งแต่ 3.25 ขึ้นไป) แต่ยังสามารถสำเร็จการศึกษาได้ตามปกตินะคะ 😊,,"ไม่ได้, ไม่ถึง",,1.0,0.033,1.0,✅ Correctly answered,1.549,True,False,
7,graduation,เงื่อนไขเกียรตินิยมอันดับ 1 มีอะไรบ้าง,GPA 3.50+ ไม่เคยได้ F/U ไม่เคยซ้ำชั้น,"สวัสดีค่ะ สำหรับเงื่อนไขการได้รับเกียรตินิยมอันดับหนึ่ง มีดังนี้ค่ะ

1.  มีค่าระดับขั้นสะสมเฉลี่ยตลอดหลักสูตรตั้งแต่ 3.50 ขึ้นไป
2.  ไม่เคยได้รับระดับขั้น F หรืออักษร U
3.  ไม่เคยลงทะเบียนเรียนซ้ำในรายวิชาใดๆ
4.  กรณีเทียบโอนผลการเรียน จำนวนหน่วยกิตที่เทียบโอนต้องไม่เกิน 1 ใน 6 ของจำนวนหน่วยกิตรวมตลอดหลักสูตรค่ะ",,"3.50, F, U, ซ้ำ",,1.0,0.062,1.0,✅ Correctly answered,1.821,True,False,
8,graduation,เคยได้ F ได้เกียรตินิยมไหม,ไม่ได้ เกียรตินิยมต้องไม่เคยได้ F/U,ตามข้อมูลที่ให้มานะคะ นิสิตที่เคยได้รับระดับขั้น F หรืออักษร U จะไม่สามารถได้รับเกียรตินิยมอันดับหนึ่งและอันดับสองได้ค่ะ 🎓,,"ไม่ได้, ไม่",,1.0,0.077,1.0,✅ Correctly answered,1.378,True,False,
9,graduation,ค่ายื่นจบกี่บาท,"ป.ตรี 2,000 บาท","สวัสดีค่ะ ค่าใช้จ่ายในการยื่นสำเร็จการศึกษาจะประกอบด้วย 2 ส่วนนะคะ คือ

1.  **ค่าปรับการยื่นสำเร็จการศึกษาล่าช้ากว่ากำหนด:** หากพ้นกำหนด 4 สัปดาห์หลังเปิดภาคเรียน จะมีค่าปรับวันละ 50 บาทค่ะ
2.  **ค่าธรรมเนียมการขึ้นทะเบียนปริญญาบัตร:**
    *   ระดับปริญญาตรี 2,000 บาท
    *   ระดับบัณฑิตศึกษา 2,500 บาท

หากมีข้อสงสัยเพิ่มเติม สามารถติดต่อภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศได้โดยตรงค่ะ 😊","2,000",ป.ตรี,,1.0,0.054,0.0,❌ Incorrectly rejected,1.697,False,False,
10,graduation,ค่าธรรมเนียมขึ้นทะเบียนปริญญาบัตรเท่าไร,"ป.ตรี 2,000 บาท","สวัสดีค่ะ 😊 ค่าธรรมเนียมการขึ้นทะเบียนปริญญาบัตรจะแตกต่างกันไปตามระดับการศึกษาค่ะ

*   **ระดับปริญญาตรี:** 2,000 บาท
*   **ระดับบัณฑิตศึกษา:** 2,500 บาท

หากเคยชำระแล้วในภาคก่อน ไม่ต้องชำระอีกนะคะ","2,000",ปริญญาบัตร,,1.0,0.069,1.0,✅ Correctly answered,2.014,True,False,
