id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,curriculum,หลักสูตร CS เรียนกี่หน่วยกิต,หลักสูตร CS เรียน 123 หน่วยกิต,หลักสูตรวิทยาการคอมพิวเตอร์ (CS) ต้องเรียน 123 หน่วยกิตค่ะ เน้นด้านทฤษฎีและการพัฒนาซอฟต์แวร์เชิงลึกค่ะ,123,หน่วยกิต,,1.0,0.304,1.0,✅ Correctly answered,13.411,True,False,
2,curriculum,หลักสูตร IT เรียนกี่หน่วยกิต,หลักสูตร IT เรียน 126 หน่วยกิต,หลักสูตรเทคโนโลยีสารสนเทศ (IT) เรียนทั้งหมด 126 หน่วยกิตค่ะ 😊,126,หน่วยกิต,,1.0,0.5,1.0,✅ Correctly answered,1.316,True,False,
3,curriculum,วิทยาการคอมพิวเตอร์เรียนกี่หน่วยกิต,วิทยาการคอมพิวเตอร์ (CS) เรียน 123 หน่วยกิต,สวัสดีค่ะ หลักสูตรวิทยาการคอมพิวเตอร์ต้องเรียนหน่วยกิตรวมตลอดหลักสูตรไม่น้อยกว่า 123 หน่วยกิตค่ะ 😊,123,CS,,1.0,0.263,1.0,✅ Correctly answered,1.044,True,False,
4,curriculum,เทคโนโลยีสารสนเทศเรียนกี่หน่วยกิต,เทคโนโลยีสารสนเทศ (IT) เรียน 126 หน่วยกิต,สวัสดีค่ะ หลักสูตรเทคโนโลยีสารสนเทศเรียนทั้งหมด 126 หน่วยกิตค่ะ โดยแบ่งเป็นหมวดวิชาศึกษาทั่วไป 30 หน่วยกิต หมวดวิชาเฉพาะ 90 หน่วยกิต และหมวดวิชาเลือกเสรี 6 หน่วยกิตค่ะ 😊,126,IT,,1.0,0.1,1.0,✅ Correctly answered,1.345,True,False,
5,curriculum,หลักสูตร CS กับ IT ต่างกันยังไง,CS เน้นทฤษฎี+ซอฟต์แวร์เชิงลึก IT เน้นประยุกต์เทคโนโลยี,"สวัสดีค่ะ น้องซีทีขออธิบายความแตกต่างระหว่างหลักสูตร CS และ IT ตามข้อมูลที่ให้มานะคะ 😊

*   **หลักสูตรวิทยาการคอมพิวเตอร์ (CS)** ต้องเรียน 123 หน่วยกิต เน้นทฤษฎีและการพัฒนาซอฟต์แวร์เชิงลึกค่ะ
*   **หลักสูตรเทคโนโลยีสารสนเทศ (IT)** ต้องเรียน 126 หน่วยกิต เน้นการประยุกต์ใช้เทคโนโลยีในองค์กรและการจัดการระบบสารสนเทศค่ะ

ทั้งสองหลักสูตรอยู่ภายใต้ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร เหมือนกันค่ะ",,"ทฤษฎี, ซอฟต์แวร์, เทคโนโลยี, ระบบ",,1.0,0.15,1.0,✅ Correctly answered,1.343,True,False,
6,curriculum,ระดับปริญญาตรีลงได้สูงสุดกี่หน่วยกิตต่อภาค,22 หน่วยกิตต่อภาคปกติ,สวัสดีค่ะ นิสิตระดับปริญญาตรีสามารถลงทะเบียนได้สูงสุด 22 หน่วยกิตต่อภาคการศึกษาปกติ และ 9 หน่วยกิตต่อภาคฤดูร้อนค่ะ 😊,22,หน่วยกิต,,1.0,0.222,1.0,✅ Correctly answered,1.106,True,False,
7,curriculum,ภาคฤดูร้อนลงได้กี่หน่วยกิต,9 หน่วยกิตต่อภาคฤดูร้อน,ภาคฤดูร้อนสามารถลงทะเบียนได้สูงสุด 9 หน่วยกิตค่ะ ☀️,9,"หน่วยกิต, ฤดูร้อน",,1.0,0.2,1.0,✅ Correctly answered,1.585,True,False,
8,curriculum,หลักสูตรใช้ระบบการเรียนแบบไหน,ใช้ระบบทวิภาค ปีละ 2 ภาคการศึกษา,หลักสูตรของเราใช้ระบบทวิภาคค่ะ โดยแบ่งเป็นภาคต้นและภาคปลายในแต่ละปีการศึกษาค่ะ 😊,ทวิภาค,2 ภาค,,1.0,0.059,1.0,✅ Correctly answered,1.657,True,False,
9,curriculum,ภาคต้นเปิดเรียนเดือนไหน,ภาคต้นเปิดมิถุนายน-ตุลาคม,ภาคต้นจะเปิดเรียนช่วงเดือนมิถุนายนถึงเดือนตุลาคมค่ะ 😊,,"มิถุนายน, ตุลาคม",,1.0,0.071,1.0,✅ Correctly answered,1.347,True,False,
10,curriculum,ภาคปลายเรียนช่วงไหน,ภาคปลายเรียนพฤศจิกายน-มีนาคม,ภาคปลายจะเปิดเรียนช่วงเดือนพฤศจิกายนถึงเดือนมีนาคมค่ะ 😊,,"พฤศจิกายน, มีนาคม",,1.0,0.0,1.0,✅ Correctly answered,1.242,True,False,
11,curriculum,1 ปีการศึกษามีกี่ภาค,2 ภาคการศึกษาต่อปี (ระบบทวิภาค),1 ปีการศึกษามี 2 ภาคค่ะ คือภาคต้นและภาคปลายค่ะ 😊,2,ภาค,,1.0,0.0,1.0,✅ Correctly answered,1.343,True,False,
12,curriculum,ภาคฤดูร้อนคืออะไร,ภาคพิเศษ ลงได้สูงสุด 9 หน่วยกิต,"สวัสดีค่ะ น้องซีทีขอตอบคำถามเกี่ยวกับภาคฤดูร้อนนะคะ

จากข้อมูลที่ให้มา ภาคฤดูร้อนจะถูกนำไปคิดรวมกับสภาพนิสิตของภาคเรียนที่ 1 ของปีการศึกษาถัดไปค่ะ แต่ไม่ได้ระบุรายละเอียดเกี่ยวกับภาคฤดูร้อนโดยตรงค่ะ 😊",,"ฤดูร้อน, ภาคพิเศษ, 9 หน่วยกิต",,1.0,0.0,1.0,✅ Correctly answered,2.271,True,False,
13,curriculum,ลง 18 หน่วยกิตได้ไหม,ลงได้ปกติ ขีดจำกัด 22 หน่วยกิต,ลง 18 หน่วยกิตได้ค่ะ เพราะขีดจำกัดภาคปกติคือ 22 หน่วยกิตค่ะ 😊,,"ลงได้, ปกติ, ภายในเกณฑ์",,1.0,0.333,1.0,✅ Correctly answered,1.364,True,False,
14,curriculum,ลง 24 หน่วยกิตได้ไหม,เกิน 22 หน่วยกิต ต้องยื่น NU18,"สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียน 24 หน่วยกิตนั้นเกินกว่ากำหนด 22 หน่วยกิตสำหรับภาคปกติค่ะ 😟

หากต้องการลงทะเบียนเกินจำนวนหน่วยกิตที่กำหนด จะต้องยื่นคำร้อง NU18 ผ่านอาจารย์ที่ปรึกษาและคณบดี โดยระบุว่า ""ขอลงทะเบียนเรียนมากกว่าเกณฑ์"" และแจ้งจำนวนหน่วยกิตรวมที่ต้องการลงทะเบียนค่ะ",NU18,"เกิน, มากกว่า",,1.0,0.116,1.0,✅ Correctly answered,1.631,True,False,
15,curriculum,ลงเรียน 23 หน่วยกิตได้ไหม,เกิน 22 หน่วยกิต ต้องยื่น NU18,"สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียน 23 หน่วยกิตนั้นเกินกำหนดค่ะ 😥

ภาคปกติสามารถลงทะเบียนได้สูงสุด 22 หน่วยกิต หากต้องการลงทะเบียนเกินกว่านี้ จะต้องยื่นคำร้อง NU18 ผ่านอาจารย์ที่ปรึกษาและคณบดีค่ะ",NU18,เกิน,,1.0,0.147,1.0,✅ Correctly answered,1.331,True,False,
16,curriculum,ลง 20 หน่วยกิตได้ไหม,ลงได้ปกติ ภายในเกณฑ์ 22 หน่วยกิต,ลงได้ค่ะ เพราะขีดจำกัดภาคปกติคือ 22 หน่วยกิต และคุณลงเพียง 20 หน่วยกิตค่ะ 😊,,"ลงได้, ปกติ, ภายในเกณฑ์",,1.0,0.286,1.0,✅ Correctly answered,1.341,True,False,
17,curriculum,ภาควิชา CSIT อยู่คณะอะไร,คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร,ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ (CSIT) อยู่ในคณะวิทยาศาสตร์ค่ะ 🎓,,"วิทยาศาสตร์, คณะ",,1.0,0.071,1.0,✅ Correctly answered,1.258,True,False,
