id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,oos,ขนมจีนน้ำยาราคาเท่าไร,ปฏิเสธ - นอก scope,"ขออภัยค่ะ ข้อมูลที่น้องซีทีมีเป็นเรื่องเกี่ยวกับการลงทะเบียนเรียนและค่าธรรมเนียมต่างๆ ของภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศเท่านั้นค่ะ ไม่ได้มีข้อมูลเกี่ยวกับราคาขนมจีนน้ำยาค่ะ 🍜

หากต้องการสอบถามข้อมูลเพิ่มเติมเกี่ยวกับภาควิชา สามารถติดต่อได้ที่ ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร ค่ะ",,"ไม่มีข้อมูล, ขออภัย, ติดต่อ",,1.0,0.0,1.0,✅ Correctly rejected,12.112,True,True,
2,oos,วิธีทำผัดไทย,ปฏิเสธ - นอก scope,"สวัสดีค่ะ น้องซีทีเป็นผู้ช่วย AI ของภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศค่ะ 😊

จากข้อมูลที่ให้มา ยังไม่มีข้อมูลเกี่ยวกับวิธีการทำผัดไทยเลยค่ะ หากต้องการทราบข้อมูลเกี่ยวกับหลักสูตร การลงทะเบียน หรือการกู้ยืม กยศ. สามารถสอบถามน้องซีทีได้นะคะ หรือหากต้องการข้อมูลอื่นๆ ที่นอกเหนือจากนี้ แนะนำให้ติดต่อภาควิชาโดยตรงจะดีที่สุดค่ะ",,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,1.572,True,True,
3,oos,ร้านอาหารใกล้มหาลัย,ปฏิเสธ - นอก scope,ขออภัยค่ะ ข้อมูลที่ให้มาไม่มีรายละเอียดเกี่ยวกับร้านอาหารใกล้มหาวิทยาลัยเลยค่ะ 😥 หากต้องการข้อมูลเพิ่มเติม แนะนำให้ติดต่อสอบถามโดยตรงที่ภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร นะคะ,,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,1.705,True,True,
4,oos,วันนี้กินอะไรดี,ปฏิเสธ - นอก scope,"ขออภัยค่ะ ข้อมูลที่ให้มาเป็นเกี่ยวกับรางวัลเรียนดีและระบบการให้ระดับขั้นของมหาวิทยาลัย ไม่ได้มีข้อมูลเกี่ยวกับเมนูอาหารที่แนะนำในวันนี้เลยค่ะ 😅

หากต้องการสอบถามข้อมูลเกี่ยวกับภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ สามารถติดต่อภาควิชาโดยตรงได้นะคะ",,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,1.781,True,True,
5,oos,หนังเรื่องไหนน่าดู,ปฏิเสธ - นอก scope,สวัสดีค่ะ 😊 จากข้อมูลที่ให้มา น้องซีทีไม่พบข้อมูลเกี่ยวกับหนังที่น่าดูเลยค่ะ หากต้องการสอบถามเกี่ยวกับหลักสูตร แผนการศึกษา หรือระบบการวัดผล สามารถสอบถามได้นะคะ,,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,1.622,True,True,
6,oos,ราคา iPhone 15,ปฏิเสธ - นอก scope,ขออภัยค่ะ น้องซีทีไม่มีข้อมูลเกี่ยวกับราคา iPhone 15 ในเอกสารที่ได้รับค่ะ 😥 หากต้องการสอบถามข้อมูลเกี่ยวกับภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ สามารถติดต่อภาควิชาโดยตรงได้เลยค่ะ,,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,1.345,True,True,
7,oos,MacBook กับ Windows ดีกว่ากัน,ปฏิเสธ - นอก scope,"สวัสดีค่ะ น้องซีทีขอตอบคำถามเรื่อง MacBook กับ Windows นะคะ

จากข้อมูลที่น้องซีทีมี ไม่ได้ระบุถึงความแตกต่างหรือข้อดีข้อเสียระหว่าง MacBook กับ Windows ค่ะ ข้อมูลที่ให้มาจะเน้นที่รายละเอียดของหลักสูตรวิทยาการคอมพิวเตอร์ (CS) และเทคโนโลยีสารสนเทศ (IT) รวมถึงระบบการวัดและประเมินผลของมหาวิทยาลัยค่ะ

หากต้องการข้อมูลเพิ่มเติมเกี่ยวกับเรื่องนี้ หรือมีคำถามเกี่ยวกับหลักสูตร สามารถติดต่อภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศได้โดยตรงเลยนะคะ 😊",,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,2.162,True,True,
8,oos,ราคา Notebook gaming,ปฏิเสธ - นอก scope,"สวัสดีค่ะ 😊 จากข้อมูลที่ให้มา ยังไม่มีรายละเอียดเกี่ยวกับราคา Notebook gaming นะคะ

หากต้องการสอบถามข้อมูลเพิ่มเติมเกี่ยวกับเรื่องนี้ แนะนำให้ติดต่อสอบถามโดยตรงกับทางภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร โดยตรงเลยค่ะ",,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,0.0,❌ Failed to reject OOS,3.191,False,True,
9,oos,วิธีเขียนเรซูเม่,ปฏิเสธ - นอก scope,"สวัสดีค่ะ 😊 จากข้อมูลที่ให้มา ยังไม่มีรายละเอียดเกี่ยวกับวิธีการเขียนเรซูเม่นะคะ

หากต้องการข้อมูลเพิ่มเติมเกี่ยวกับการเขียนเรซูเม่ หรือเรื่องอื่นๆ ที่เกี่ยวข้องกับการศึกษา แนะนำให้ติดต่อสอบถามโดยตรงกับทางภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ คณะวิทยาศาสตร์ มหาวิทยาลัยนเรศวร นะคะ",,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,0.0,❌ Failed to reject OOS,3.493,False,True,
10,oos,สมัครงานยังไง,ปฏิเสธ - นอก scope,ขออภัยค่ะ ข้อมูลที่ให้มาไม่มีรายละเอียดเกี่ยวกับการสมัครงานค่ะ 😥 หากต้องการข้อมูลเพิ่มเติม แนะนำให้ติดต่อสอบถามกับทางภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศโดยตรงนะคะ,,"ไม่มีข้อมูล, ขออภัย",,1.0,0.0,1.0,✅ Correctly rejected,1.344,True,True,
