id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,coop,Coop01 คืออะไร,ใบสมัครปฏิบัติสหกิจศึกษาของคณะวิทยาศาสตร์,สวัสดีค่ะ Coop01 คือใบสมัครปฏิบัติสหกิจศึกษาของคณะวิทยาศาสตร์ รหัสฟอร์ม SC_Co-op 01 ค่ะ 😊,,"ใบสมัคร, สหกิจ, ฟอร์ม",,1.0,0.333,1.0,✅ Correctly answered,16.311,True,False,
2,coop,รหัสฟอร์ม Coop01 คืออะไร,SC_Co-op 01,รหัสฟอร์ม Coop01 คือ SC_Co-op 01 ค่ะ 😊,,"SC_Co-op 01, SC, Co-op",,1.0,0.5,1.0,✅ Correctly answered,4.539,True,False,
3,coop,ระยะเวลาปฏิบัติสหกิจกี่เดือน,4 เดือน,ระยะเวลาปฏิบัติสหกิจคือ 4 เดือนค่ะ 😊,4,เดือน,,1.0,0.167,1.0,✅ Correctly answered,2.371,True,False,
4,coop,ขนาดรูปถ่ายใน Coop01,1 นิ้ว ชุดนิสิต,ขนาดรูปถ่ายที่ใช้ในฟอร์ม Coop01 คือ 1 นิ้ว และต้องเป็นรูปถ่ายชุดนิสิตค่ะ 📸,1,"นิ้ว, ชุดนิสิต",,1.0,0.083,1.0,✅ Correctly answered,1.447,True,False,
5,coop,อบรมสหกิจกี่ชั่วโมง,30 ชั่วโมง,การอบรมสหกิจมีทั้งหมด 30 ชั่วโมงค่ะ 😊,30,ชั่วโมง,,1.0,0.167,1.0,✅ Correctly answered,1.241,True,False,
6,coop,สมัครสหกิจที่เว็บไหน,https://www.sci.nu.ac.th/coop/,นิสิตสามารถสมัครสหกิจได้ที่เว็บไซต์ https://www.sci.nu.ac.th/coop/ ค่ะ 😊,,"sci.nu.ac.th, coop, MIS",,1.0,0.583,1.0,✅ Correctly answered,1.242,True,False,
7,coop,เอกสารที่ต้องแนบกับ Coop01,"Resume, Transcript, Activity Transcript","สวัสดีค่ะ 😊 เอกสารที่ต้องแนบกับฟอร์ม Coop01 มีดังนี้ค่ะ:

1.  Resume (ประวัติส่วนตัวและประสบการณ์)
2.  ใบแสดงผลการเรียนทุกภาค (Transcript)
3.  ใบแสดงผลการเข้าร่วมกิจกรรม (Activity Transcript)
4.  เอกสารเพิ่มเติม (Optional) เช่น เกียรติบัตร รางวัล หรือผลงาน

อย่าลืมตรวจสอบให้แน่ใจว่ากรอกข้อมูลและแนบเอกสารครบถ้วนนะคะ มิฉะนั้นคณะจะไม่สามารถจัดทำหนังสือขอความอนุเคราะห์ให้ได้ค่ะ",,"Resume, Transcript, Activity",,1.0,0.062,1.0,✅ Correctly answered,1.481,True,False,
8,coop,ต้องแนบ Resume กับ Coop01 ไหม,ต้องแนบ Resume,ต้องแนบ Resume กับ Coop01 ค่ะ เพราะเป็นหนึ่งในเอกสารที่ต้องแนบค่ะ 😊,,"ต้อง, Resume, ใช่",,1.0,0.286,1.0,✅ Correctly answered,1.721,True,False,
9,coop,ถ้าเอกสารไม่ครบจะเป็นยังไง,คณะจะไม่จัดทำหนังสือขอความอนุเคราะห์ให้,หากเอกสารไม่ครบถ้วน อาจจะไม่สามารถยื่นสำเร็จการศึกษาได้ค่ะ แนะนำให้นิสิตตรวจสอบเอกสารให้ครบถ้วนตามที่ระบุไว้ในเอกสารภาควิชาค่ะ 😊,,"ไม่จัดทำ, ไม่ดำเนินการ, ไม่อนุเคราะห์",,1.0,0.0,1.0,✅ Correctly answered,4.657,True,False,
10,coop,Activity Transcript คืออะไร,ใบแสดงผลการเข้าร่วมกิจกรรม,"สวัสดีค่ะ จากข้อมูลที่ให้มา ยังไม่มีรายละเอียดเกี่ยวกับ ""Activity Transcript"" นะคะ หากต้องการข้อมูลเพิ่มเติม แนะนำให้ติดต่อภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศโดยตรงค่ะ 😊",,"กิจกรรม, ผลการเข้าร่วม",,1.0,0.0,0.0,❌ Incorrectly rejected,1.934,False,False,
