id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,loan,กยศ. ต้องทำจิตอาสากี่ชั่วโมง,อย่างน้อย 36 ชั่วโมง/ปี,ผู้กู้ กยศ. ต้องทำกิจกรรมจิตอาสาอย่างน้อย 36 ชั่วโมงต่อปีค่ะ โดยจะนับช่วงตั้งแต่วันที่ 1 พฤษภาคม ถึงวันที่ 30 เมษายนของปีถัดไปค่ะ,36,ชั่วโมง,,1.0,0.15,1.0,✅ Correctly answered,12.481,True,False,
2,loan,ชั่วโมงจิตอาสากยศ.ต่อปีเท่าไร,36 ชั่วโมงต่อปี,สวัสดีค่ะ ผู้กู้ กยศ. ต้องทำกิจกรรมจิตอาสาอย่างน้อย 36 ชั่วโมงต่อปี โดยนับตั้งแต่วันที่ 1 พฤษภาคม ถึง 30 เมษายนของปีถัดไปค่ะ 😊,36,"ชั่วโมง, ปี",,1.0,0.158,1.0,✅ Correctly answered,1.303,True,False,
3,loan,ช่วงเวลานับชั่วโมงจิตอาสา,1 พฤษภาคม - 30 เมษายนของปีถัดไป,"สวัสดีค่ะ น้องซีทีขอตอบคำถามเรื่องช่วงเวลานับชั่วโมงจิตอาสานะคะ ⏳

ชั่วโมงจิตอาสาจะนับตั้งแต่วันที่ 1 พฤษภาคม ถึงวันที่ 30 เมษายนของปีถัดไปค่ะ",,"พฤษภาคม, เมษายน",,1.0,0.158,1.0,✅ Correctly answered,1.831,True,False,
4,loan,ทำจิตอาสาน้อยกว่า 36 ชั่วโมงได้ไหม,ไม่ได้ ต้องอย่างน้อย 36 ชั่วโมง,สวัสดีค่ะ จากข้อมูลที่ให้มา ผู้กู้ กยศ. ต้องทำกิจกรรมจิตอาสาอย่างน้อย 36 ชั่วโมงต่อปีค่ะ หากทำน้อยกว่านี้อาจมีผลต่อการเป็นผู้กู้ กยศ. นะคะ แนะนำให้ติดต่อเจ้าหน้าที่กิจการนิสิตประจำคณะ หรือ งานส่งเสริมการจัดการศึกษา กองบริการการศึกษา เพื่อสอบถามรายละเอียดเพิ่มเติมค่ะ 😊,,"ไม่ได้, อย่างน้อย, ต้อง",,1.0,0.062,1.0,✅ Correctly answered,1.921,True,False,
5,loan,จิตอาสาเริ่มนับเมื่อไหร่,1 พฤษภาคม,สวัสดีค่ะ ชั่วโมงจิตอาสาจะนับตั้งแต่ วันที่ 1 พฤษภาคม ถึงวันที่ 30 เมษายน ของปีถัดไปค่ะ 😊,,"1 พฤษภาคม, พฤษภาคม",,1.0,0.077,1.0,✅ Correctly answered,1.493,True,False,
6,loan,ขั้นตอนสมัครกยศ.,ลงทะเบียนระบบ DSL + ยื่นเอกสาร,"สวัสดีค่ะ 😊 หากนิสิตต้องการสมัครกู้ยืมเงิน กยศ. สามารถดำเนินการตามขั้นตอนดังนี้ค่ะ

1.  ขอรหัสผ่านใน Mobile App กยศ. Connect หรือในระบบ DSL ที่ https://wsa.dsl.studentloan.or.th/#/rms/rms-login
2.  ยื่นชั่วโมงจิตอาสา SET e-Learning 6 หลักสูตรภาคบังคับ (6 ชั่วโมง) ประมาณช่วงเดือนมิถุนายน
3.  ยื่นคำขอกู้ยืมเงินผ่านระบบ DSL ประมาณช่วงเดือนมิถุนายน
4.  มหาวิทยาลัยจะตรวจสอบและยืนยันข้อมูลผู้กู้ในระบบ DSL ตามคุณสมบัติที่กองทุนฯ กำหนดค่ะ",,"ลงทะเบียน, ยื่น, DSL, เอกสาร",,1.0,0.016,1.0,✅ Correctly answered,1.537,True,False,
7,loan,ระบบ DSL คืออะไร,ระบบกู้ยืมกยศ.ออนไลน์,ระบบ DSL คือระบบที่นิสิตใช้ในการยื่นคำขอกู้ยืมเงิน กยศ. ค่ะ 😊,,"กู้ยืม, ระบบ, ออนไลน์",,1.0,0.0,1.0,✅ Correctly answered,1.445,True,False,
8,loan,สมัครกยศ.ที่ไหน,ระบบ DSL ออนไลน์,"สวัสดีค่ะ นิสิตสามารถดำเนินการยื่นกู้ยืมเงินกองทุน กยศ. ผ่านระบบ DSL หรือแอปพลิเคชัน ""กยศ. Connect"" ได้เลยค่ะ

หากต้องการข้อมูลเพิ่มเติม สามารถดูได้ที่เว็บไซต์กองทุน กยศ. มหาวิทยาลัยนเรศวร: https://www.acad.nu.ac.th/studentloan/ หรือเว็บไซต์กองบริการการศึกษา: www.acad.nu.ac.th ค่ะ 😊",,"DSL, studentloan, ออนไลน์, ระบบ",,1.0,0.024,1.0,✅ Correctly answered,1.856,True,False,
9,loan,เว็บกยศ.กลางคืออะไร,wsa.dsl.studentloan.or.th,สวัสดีค่ะ 😊 เว็บ กยศ. กลาง คือ ระบบ DSL (Digital Student Loan) ซึ่งเป็นระบบสำหรับดำเนินการยื่นกู้ยืมเงินกองทุน กยศ. โดยตรงกับส่วนกลางค่ะ สามารถเข้าใช้งานได้ที่นี่เลยค่ะ https://wsa.dsl.studentloan.or.th/#/rms/rms-login ค่ะ,,"wsa.dsl, studentloan",,1.0,0.161,1.0,✅ Correctly answered,2.69,True,False,
10,loan,เอกสารสมัครกยศ.มีอะไรบ้าง,เอกสารหลักฐาน + ใบสมัคร,"สวัสดีค่ะ สำหรับเอกสารที่ต้องเตรียมในการสมัครกู้ยืม กยศ. มีดังนี้ค่ะ

*   หนังสือยินยอมเปิดเผยข้อมูล
*   สำเนาบัตรประจำตัวประชาชนของผู้กู้และผู้แทนโดยชอบธรรม
*   เอกสารแสดงรายได้ของครอบครัว
*   เอกสารยืนยันการทำกิจกรรมจิตอาสา

หากมีข้อสงสัยเพิ่มเติม สามารถติดต่อภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศได้เลยนะคะ 😊",,"เอกสาร, บัตร, หลักฐาน",,1.0,0.0,0.0,❌ Incorrectly rejected,1.431,False,False,
