id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
1,registration,ค่าปรับลงทะเบียนช้าวันละเท่าไร,วันละ 25 บาท,สวัสดีค่ะ จากข้อมูลที่ให้มา ค่าปรับการลงทะเบียนเรียนล่าช้าคือวันละ 25 บาทค่ะ 💰,25,บาท,,1.0,0.111,1.0,✅ Correctly answered,12.076,True,False,
2,registration,ลงทะเบียนช้า 5 วัน เสียเท่าไร,125 บาท (5 × 25),สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียนช้า 5 วัน จะมีค่าปรับ 125 บาทค่ะ และยังสามารถลงทะเบียนได้ตามปกติค่ะ 😊,125,,,1.0,0.053,1.0,✅ Correctly answered,1.648,True,False,
3,registration,ลงทะเบียนช้า 7 วัน ต้องจ่ายเท่าไร,175 บาท (7 × 25),สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียนช้า 7 วัน จะมีค่าปรับ 175 บาท ค่ะ 😊,175,,,1.0,0.143,1.0,✅ Correctly answered,1.749,True,False,
4,registration,ลงทะเบียนช้า 10 วัน เสียเท่าไร,250 บาท (10 × 25),สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียนช้า 10 วัน จะมีค่าปรับ 250 บาทค่ะ และยังสามารถลงทะเบียนได้ตามปกติค่ะ 😊,250,,,1.0,0.1,1.0,✅ Correctly answered,1.656,True,False,
5,registration,ลงทะเบียนช้า 14 วันได้ไหม,350 บาท ใกล้ครบ 14 วัน,สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียนช้า 14 วัน **ยังสามารถลงทะเบียนได้ปกติ** ค่ะ โดยมีค่าปรับ 350 บาท และยังเหลือเวลาอีก 0 วัน ก่อนพ้นสภาพการเป็นนิสิตค่ะ 😊,,"350, ครบ, ใกล้, พ้นสภาพ",,1.0,0.115,1.0,✅ Correctly answered,1.755,True,False,
6,registration,ลงทะเบียนช้า 20 วันทำยังไง,พ้นสภาพ ต้องยื่น NU7,"สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียนช้า 20 วัน ถือว่าเกิน 14 วันแล้วนะคะ จะต้องยื่นคำร้อง NU7 เพื่อขอคืนสภาพนิสิตค่ะ

สำหรับค่าใช้จ่าย จะมีค่าคืนสภาพ 1,000 บาทค่ะ 😊",,"พ้นสภาพ, NU7, คืนสภาพ",,1.0,0.091,1.0,✅ Correctly answered,2.023,True,False,
7,registration,ลง 24 หน่วยกิตได้ไหม,เกิน 22 ต้องยื่น NU18,"สวัสดีค่ะ จากข้อมูลที่ให้มา การลงทะเบียน 24 หน่วยกิตนั้นเกินกำหนดค่ะ 😟 เพราะภาคปกติสามารถลงทะเบียนได้สูงสุด 22 หน่วยกิตค่ะ

หากต้องการลงทะเบียนเกินกำหนดนี้ จะต้องยื่นคำร้อง NU18 ผ่านอาจารย์ที่ปรึกษาและคณบดีนะคะ",NU18,เกิน,,1.0,0.086,1.0,✅ Correctly answered,2.929,True,False,
8,registration,ลง 18 หน่วยกิตได้ไหม,ลงได้ปกติ,ลง 18 หน่วยกิตได้ค่ะ เพราะขีดจำกัดภาคปกติคือ 22 หน่วยกิตค่ะ 😊,,"ลงได้, ปกติ",,1.0,0.0,1.0,✅ Correctly answered,1.419,True,False,
9,registration,ลงทะเบียนเกิน 22 หน่วยกิตทำยังไง,ยื่น NU18 ผ่านอาจารย์ที่ปรึกษา,"สวัสดีค่ะ หากต้องการลงทะเบียนเกิน 22 หน่วยกิต สามารถยื่นคำร้องทั่วไป NU18 ผ่านอาจารย์ที่ปรึกษาและคณบดี โดยระบุชื่อเรื่องว่า ""ขอลงทะเบียนเรียนมากกว่าเกณฑ์"" และระบุจำนวนหน่วยกิตรวมทั้งหมดที่ต้องการลงทะเบียนได้ค่ะ 😊",NU18,คำร้อง,,1.0,0.103,1.0,✅ Correctly answered,1.466,True,False,
10,registration,ภาคฤดูร้อนลงเกิน 9 หน่วยกิตได้ไหม,ต้องยื่น NU18,สวัสดีค่ะ จากข้อมูลที่ให้มา นิสิตระดับปริญญาตรีสามารถลงทะเบียนได้สูงสุด 9 หน่วยกิตต่อภาคฤดูร้อนค่ะ หากต้องการลงทะเบียนเกินกว่านี้ จะต้องยื่นคำร้องทั่วไป NU18 ผ่านอาจารย์ที่ปรึกษาและคณบดีนะคะ 😊,,"NU18, ไม่ได้, เกิน",,1.0,0.061,1.0,✅ Correctly answered,1.858,True,False,
11,registration,NU11 ใช้ทำอะไร,ถอนรายวิชา (ติด W),สวัสดีค่ะ แบบฟอร์ม NU11 ใช้สำหรับถอนรายวิชาค่ะ โดยสามารถใช้ถอนรายวิชาได้หลังจากผ่านไป 2 สัปดาห์แล้ว แต่ต้องไม่เกินสัปดาห์ที่ 12 ของภาคการศึกษานั้นๆ ค่ะ 😊,,"ถอน, W",,1.0,0.04,1.0,✅ Correctly answered,1.481,True,False,
12,registration,NU18 ใช้ทำอะไร,คำร้องทั่วไป ขอลงเกินหน่วยกิต,NU18 เป็นคำร้องทั่วไปที่ใช้สำหรับขอลงทะเบียนเกินหน่วยกิตที่กำหนด หรือกรณีอื่นๆ ที่เกี่ยวข้องกับการลงทะเบียนค่ะ 😊,,"คำร้องทั่วไป, เกิน, หน่วยกิต",,1.0,0.125,1.0,✅ Correctly answered,1.719,True,False,
13,registration,NU8 ใช้ทำอะไร,เพิ่มรายวิชาหลังกำหนด,"สวัสดีค่ะ 'น้องซีที' ยินดีให้บริการค่ะ 😊

NU8 เป็นคำร้องขอเพิ่มรายวิชาหลังกำหนดค่ะ ใช้สำหรับเพิ่มรายวิชาหลังจากพ้น 2 สัปดาห์แรกของการลงทะเบียน โดยมีค่าธรรมเนียม 100 บาทต่อสัปดาห์ค่ะ",,"เพิ่ม, รายวิชา, ล่าช้า",,1.0,0.069,1.0,✅ Correctly answered,1.963,True,False,
14,registration,NU14 ใช้ทำอะไร,เทียบโอนรายวิชา,NU14 ใช้สำหรับคำร้องขอเทียบโอนรายวิชาที่เคยเรียนมาแล้วค่ะ มีค่าธรรมเนียม 100 บาทต่อครั้งค่ะ 😊,,"เทียบโอน, รายวิชา",,1.0,0.056,1.0,✅ Correctly answered,3.493,True,False,
15,registration,ฟอร์มที่ใช้ขอเทียบโอนคืออะไร,NU14,ฟอร์มที่ใช้ขอเทียบโอนรายวิชาคือ **NU14** ค่ะ 😊,NU14,,,1.0,0.143,1.0,✅ Correctly answered,1.445,True,False,
16,registration,ระยะเวลาลงทะเบียนล่าช้าได้กี่สัปดาห์,2 สัปดาห์แรกของภาคปกติ,สวัสดีค่ะ นิสิตสามารถลงทะเบียนล่าช้าได้ภายใน 2 สัปดาห์แรกนับจากวันเปิดภาคเรียนสำหรับภาคเรียนปกติ และภายใน 1 สัปดาห์แรกนับจากวันเปิดภาคเรียนสำหรับภาคฤดูร้อนค่ะ หากเกินกำหนด 2 สัปดาห์แล้วยังไม่ลงทะเบียน จะถือว่าพ้นสภาพการเป็นนิสิตค่ะ 🎓,2,สัปดาห์,,1.0,0.031,1.0,✅ Correctly answered,2.061,True,False,
17,registration,ลงทะเบียนล่าช้าภาคฤดูร้อนได้กี่สัปดาห์,1 สัปดาห์,สำหรับภาคฤดูร้อน นิสิตสามารถลงทะเบียนล่าช้าได้ภายใน 1 สัปดาห์แรกนับจากวันเปิดภาคเรียนค่ะ หากเกินกำหนดนี้จะมีค่าปรับการลงทะเบียนล่าช้าวันละ 25 บาทค่ะ,1,สัปดาห์,,1.0,0.043,1.0,✅ Correctly answered,1.476,True,False,
18,registration,ลงทะเบียนเรียนผ่านระบบไหน,ระบบทะเบียนออนไลน์ reg.nu.ac.th,นิสิตสามารถลงทะเบียนเรียนผ่านระบบทะเบียนออนไลน์ได้ที่เว็บไซต์ www.reg.nu.ac.th ค่ะ 😊,,"reg.nu.ac.th, ออนไลน์, ทะเบียน",,1.0,0.357,1.0,✅ Correctly answered,1.618,True,False,
